theme_id,theme_name,bottleneck_layer,active_from,active_until,company_code,conviction,source_note,evidence_date,evidence_url,invalidation_criteria,review_by,role
abf_substrate,ABF 載板缺貨,"期初冊主題,僅做證據演化。圍欄內 2022-06-01 第一手證據:南電/景碩/欣興ABF載板三雄『首遭』外資降評、目標價狠砍約4成;外資估ABF缺口由2021",2022-08-01,2022-10-31,3037,1,"[跨批縫合:首見 2022-07-01(批 2022H2),conviction 終值 1] 外資首度降評、目標價砍4成;缺口收斂、漲價喊卡。由5下調至3",2022-07-01,repo:backfill/label_runs/2022-07.json,ABF現貨/長約報價實際回落(非僅漲價喊卡);交期由高峰縮回正常;三雄稼動率明顯下滑或下修財測。→ 若 H2 確認降價則設 active_until,,chokepoint_owner
abf_substrate,ABF 載板缺貨,"期初冊主題,僅做證據演化。圍欄內 2022-06-01 第一手證據:南電/景碩/欣興ABF載板三雄『首遭』外資降評、目標價狠砍約4成;外資估ABF缺口由2021",2022-08-01,2022-10-31,3189,1,"[跨批縫合:首見 2022-07-01(批 2022H2),conviction 終值 1] 同遭降評。由5下調至3",2022-07-01,repo:backfill/label_runs/2022-07.json,ABF現貨/長約報價實際回落(非僅漲價喊卡);交期由高峰縮回正常;三雄稼動率明顯下滑或下修財測。→ 若 H2 確認降價則設 active_until,,chokepoint_owner
abf_substrate,ABF 載板缺貨,"期初冊主題,僅做證據演化。圍欄內 2022-06-01 第一手證據:南電/景碩/欣興ABF載板三雄『首遭』外資降評、目標價狠砍約4成;外資估ABF缺口由2021",2022-08-01,2022-10-31,8046,1,"[跨批縫合:首見 2022-07-01(批 2022H2),conviction 終值 1] 同遭降評,基板高峰反轉。由5下調至3",2022-07-01,repo:backfill/label_runs/2022-07.json,ABF現貨/長約報價實際回落(非僅漲價喊卡);交期由高峰縮回正常;三雄稼動率明顯下滑或下修財測。→ 若 H2 確認降價則設 active_until,,chokepoint_owner
advanced_packaging_cowos,CoWoS 先進封裝,advanced_packaging_cowos ≤圍欄證據=再強化但已封頂。台積電 2024-07-18 法說(魏哲家):今、明兩年 CoWoS 產能均超倍增,2023-07-01,,2330,5,"[跨批縫合:首見 2023-06-01(批 2023H1),conviction 終值 5] carry 持平(已封頂 5);2024-07-18 法說僅再確認供不應求。",2024-07-01,repo:backfill/label_runs/2024-07.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單 / 擴產開出且交期正常化。,,chokepoint_owner
advanced_packaging_cowos,CoWoS 先進封裝,advanced_packaging_cowos ≤圍欄證據=再強化但已封頂。台積電 2024-07-18 法說(魏哲家):今、明兩年 CoWoS 產能均超倍增,2023-07-01,,2449,2,"[跨批縫合:首見 2023-06-01(批 2023H1),conviction 終值 2] carry 持平。",2024-07-01,repo:backfill/label_runs/2024-07.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單 / 擴產開出且交期正常化。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,advanced_packaging_cowos ≤圍欄證據=再強化但已封頂。台積電 2024-07-18 法說(魏哲家):今、明兩年 CoWoS 產能均超倍增,2023-07-01,,3711,2,"[跨批縫合:首見 2023-06-01(批 2023H1),conviction 終值 2] carry 持平。",2024-07-01,repo:backfill/label_runs/2024-07.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單 / 擴產開出且交期正常化。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,advanced_packaging_cowos ≤圍欄證據=再強化但已封頂。台積電 2024-07-18 法說(魏哲家):今、明兩年 CoWoS 產能均超倍增,2023-09-01,,3131,2,"[跨批縫合:首見 2023-08-01(批 2023H2),conviction 終值 2] carry 持平(TPEx 不可交易)。",2024-07-01,repo:backfill/label_runs/2024-07.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單 / 擴產開出且交期正常化。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,advanced_packaging_cowos ≤圍欄證據=再強化但已封頂。台積電 2024-07-18 法說(魏哲家):今、明兩年 CoWoS 產能均超倍增,2023-09-01,,3583,2,"[跨批縫合:首見 2023-08-01(批 2023H2),conviction 終值 2] carry 持平。",2024-07-01,repo:backfill/label_runs/2024-07.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單 / 擴產開出且交期正常化。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,advanced_packaging_cowos ≤圍欄證據=再強化但已封頂。台積電 2024-07-18 法說(魏哲家):今、明兩年 CoWoS 產能均超倍增,2023-09-01,,6187,2,"[跨批縫合:首見 2023-08-01(批 2023H2),conviction 終值 2] carry 持平(TPEx 不可交易)。",2024-07-01,repo:backfill/label_runs/2024-07.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單 / 擴產開出且交期正常化。,,enabler
ai_liquid_cooling,AI 液冷 (UQD 水冷快接頭),"在冊觀察線 ai_liquid_cooling 之 defer→admit。期初冊指示:『GB200 量產 H2 2024 起,≤圍欄若首見 UQD/CDU 配",2024-08-01,,3017,2,"[跨批縫合:首見 2024-07-01(批 2024H2),conviction 終值 2] TW 散熱模組龍頭(水冷板/CDU)+ 持富世達 UQD 曝險 + 緊急救援分歧管/快接頭。模組層可擴屬 enabler。TWSE。",2024-07-17,repo:backfill/label_runs/2024-07.json; Digitimes a20240717PD200; TweakTown 99446,台廠多家(嘉澤 3533 等)通過 UQD 認證致集中度瓦解 / 液冷快接頭供給正常化、漲價回落 / GB200/GB300 液冷砍單、滲透率停滯 / 富世達 UQD ODM 訂單能見度回縮。,,enabler
