theme_id,theme_name,bottleneck_layer,active_from,active_until,company_code,conviction,source_note,evidence_date,evidence_url,invalidation_criteria,review_by,role
advanced_packaging_cowos,CoWoS 先進封裝,在冊主題 advanced_packaging_cowos 之 ≤圍欄證據演化=強化。台積電 2024-01-18 法說(第一手 ≤圍欄):2024 AI 加速,2024-01-01,,2330,5,"4→5,2024-01-18 法說確認 AI 2024 再倍增 + CoWoS 倍增仍短缺,達 owner 結構上限。",2024-01-01,repo:backfill/label_runs/2024-01.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單(法說已駁『砍單謠言』)/ 擴產開出且交期正常化。,,chokepoint_owner
advanced_packaging_cowos,CoWoS 先進封裝,在冊主題 advanced_packaging_cowos 之 ≤圍欄證據演化=強化。台積電 2024-01-18 法說(第一手 ≤圍欄):2024 AI 加速,2024-01-01,,3711,2,"carry 持平,本月無專屬 ≤圍欄新證據。",2024-01-01,repo:backfill/label_runs/2024-01.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單(法說已駁『砍單謠言』)/ 擴產開出且交期正常化。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,在冊主題 advanced_packaging_cowos 之 ≤圍欄證據演化=強化。台積電 2024-01-18 法說(第一手 ≤圍欄):2024 AI 加速,2024-01-01,,2449,2,carry 持平。,2024-01-01,repo:backfill/label_runs/2024-01.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單(法說已駁『砍單謠言』)/ 擴產開出且交期正常化。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,在冊主題 advanced_packaging_cowos 之 ≤圍欄證據演化=強化。台積電 2024-01-18 法說(第一手 ≤圍欄):2024 AI 加速,2024-01-01,,3583,2,carry 持平。,2024-01-01,repo:backfill/label_runs/2024-01.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單(法說已駁『砍單謠言』)/ 擴產開出且交期正常化。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,在冊主題 advanced_packaging_cowos 之 ≤圍欄證據演化=強化。台積電 2024-01-18 法說(第一手 ≤圍欄):2024 AI 加速,2024-01-01,,3131,2,"carry 持平(TPEx,標記保留不可交易)。",2024-01-01,repo:backfill/label_runs/2024-01.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單(法說已駁『砍單謠言』)/ 擴產開出且交期正常化。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,在冊主題 advanced_packaging_cowos 之 ≤圍欄證據演化=強化。台積電 2024-01-18 法說(第一手 ≤圍欄):2024 AI 加速,2024-01-01,,6187,2,"carry 持平(TPEx,標記保留不可交易)。",2024-01-01,repo:backfill/label_runs/2024-01.json,CoWoS 產能利用率跌破 80% / AI 加速器砍單(法說已駁『砍單謠言』)/ 擴產開出且交期正常化。,,enabler
grid_heavy_electrical,電網重電,在冊主題 grid_heavy_electrical:本月真搜尋未取得『發布日期 ≤ 2024-01-31』之新增訂單/漲價/AI-電網缺口第一手來源——所有 ,2024-01-01,,1513,3,"carry 持平,無 ≤圍欄新催化。",2024-01-01,repo:backfill/label_runs/2024-01.json,台電強韌電網預算腰斬 / 重電訂單連 2 季衰退 / 變壓器交期正常化。,,chokepoint_owner
grid_heavy_electrical,電網重電,在冊主題 grid_heavy_electrical:本月真搜尋未取得『發布日期 ≤ 2024-01-31』之新增訂單/漲價/AI-電網缺口第一手來源——所有 ,2024-01-01,,1519,4,"carry 持平;動能強但 AI-電網證據皆晚於圍欄,不上調。",2024-01-01,repo:backfill/label_runs/2024-01.json,台電強韌電網預算腰斬 / 重電訂單連 2 季衰退 / 變壓器交期正常化。,,chokepoint_owner
grid_heavy_electrical,電網重電,在冊主題 grid_heavy_electrical:本月真搜尋未取得『發布日期 ≤ 2024-01-31』之新增訂單/漲價/AI-電網缺口第一手來源——所有 ,2024-01-01,,1514,2,carry 持平。,2024-01-01,repo:backfill/label_runs/2024-01.json,台電強韌電網預算腰斬 / 重電訂單連 2 季衰退 / 變壓器交期正常化。,,enabler
grid_heavy_electrical,電網重電,在冊主題 grid_heavy_electrical:本月真搜尋未取得『發布日期 ≤ 2024-01-31』之新增訂單/漲價/AI-電網缺口第一手來源——所有 ,2024-01-01,,1503,2,carry 持平。,2024-01-01,repo:backfill/label_runs/2024-01.json,台電強韌電網預算腰斬 / 重電訂單連 2 季衰退 / 變壓器交期正常化。,,enabler
epaper_esl,電子紙/ESL,"在冊主題 epaper_esl(元太 8069,TPEx):本月無『發布日期 ≤ 2024-01-31』之新催化——2023-Q4 法說(大尺寸新產線年底就位/",2024-01-01,,8069,3,"carry 持平(TPEx 追蹤,標記保留不可交易);本月無 ≤圍欄新催化。",2024-01-01,repo:backfill/label_runs/2024-01.json,ESL 換裝潮結束 / 電子紙產能過剩 / 報價回落。,,chokepoint_owner
advanced_packaging_cowos,多主題沿用(CoWoS/電子紙/解封出行),"在冊主題本月無 ≤圍欄新催化,持平沿用:①advanced_packaging_cowos——台積電 2024-01 已達 owner 結構上限 5,本月無新增",2024-02-01,,8069,3,carry 持平(TPEx);2023-Q4 法說晚於圍欄。,2024-02-01,repo:backfill/label_runs/2024-02.json,各主題沿用前月 invalidation_criteria。,,chokepoint_owner
