theme_id,theme_name,bottleneck_layer,active_from,active_until,company_code,conviction,source_note,evidence_date,evidence_url,invalidation_criteria,review_by,role
advanced_packaging_cowos,CoWoS 先進封裝,在冊主題 advanced_packaging_cowos 證據演化:2023-07-14 科技新報證實台積電因生成式 AI 需求急擴 CoWoS 產能(竹南/,2023-07-01,,2330,4,"獨家 CoWoS,AI 加速器唯一先進封裝來源;2023-07 需求>>供給確立。",2023-07-01,repo:backfill/label_runs/2023-07.json,CoWoS 產能利用率跌破 80%/AI 加速器砍單/擴產開出且交期正常化。,,chokepoint_owner
advanced_packaging_cowos,CoWoS 先進封裝,在冊主題 advanced_packaging_cowos 證據演化:2023-07-14 科技新報證實台積電因生成式 AI 需求急擴 CoWoS 產能(竹南/,2023-07-01,,3711,2,"承接 CoWoS 訂單外溢與委外封測,惟屬溢出受惠非稀缺節點本身,保守持平。",2023-07-01,repo:backfill/label_runs/2023-07.json,CoWoS 產能利用率跌破 80%/AI 加速器砍單/擴產開出且交期正常化。,,enabler
advanced_packaging_cowos,CoWoS 先進封裝,在冊主題 advanced_packaging_cowos 證據演化:2023-07-14 科技新報證實台積電因生成式 AI 需求急擴 CoWoS 產能(竹南/,2023-07-01,,2449,2,"測試端受惠訂單外溢,持平。",2023-07-01,repo:backfill/label_runs/2023-07.json,CoWoS 產能利用率跌破 80%/AI 加速器砍單/擴產開出且交期正常化。,,enabler
grid_heavy_electrical,電網重電,在冊主題 grid_heavy_electrical:2023-07 種子顯示華城 1519 三月營收年增 +68%(自前期 -34% 明顯加速)、且電機機械動,2023-07-01,,1513,3,"GIS 龍頭,持平沿用。",2023-07-01,repo:backfill/label_runs/2023-07.json,台電強韌電網預算腰斬/重電訂單連 2 季衰退/變壓器交期正常化。,,chokepoint_owner
grid_heavy_electrical,電網重電,在冊主題 grid_heavy_electrical:2023-07 種子顯示華城 1519 三月營收年增 +68%(自前期 -34% 明顯加速)、且電機機械動,2023-07-01,,1519,3,"變壓器,2023-07 營收加速(+68% YoY)、動能領先,持平沿用(缺≤圍欄訂單報導不上調)。",2023-07-01,repo:backfill/label_runs/2023-07.json,台電強韌電網預算腰斬/重電訂單連 2 季衰退/變壓器交期正常化。,,chokepoint_owner
grid_heavy_electrical,電網重電,在冊主題 grid_heavy_electrical:2023-07 種子顯示華城 1519 三月營收年增 +68%(自前期 -34% 明顯加速)、且電機機械動,2023-07-01,,1514,2,持平。,2023-07-01,repo:backfill/label_runs/2023-07.json,台電強韌電網預算腰斬/重電訂單連 2 季衰退/變壓器交期正常化。,,enabler
grid_heavy_electrical,電網重電,在冊主題 grid_heavy_electrical:2023-07 種子顯示華城 1519 三月營收年增 +68%(自前期 -34% 明顯加速)、且電機機械動,2023-07-01,,1503,2,持平。,2023-07-01,repo:backfill/label_runs/2023-07.json,台電強韌電網預算腰斬/重電訂單連 2 季衰退/變壓器交期正常化。,,enabler
epaper_esl,電子紙/ESL,在冊主題 epaper_esl:≤圍欄可用證據為約 2023-04 Touch Taiwan 展會報導(元太彩色電子紙產能滿載、ESL 下半年升溫、營運逐季增),2023-07-01,,8069,3,"電子紙材料獨家;2023-04 產能滿載/ESL H2 升溫,持平(TPEx 不可交易,標記保留)。",2023-07-01,repo:backfill/label_runs/2023-07.json,ESL 換裝潮結束/電子紙產能過剩/報價回落。,,chokepoint_owner
ev_supply,電動車供應鏈,"在冊主題 ev_supply(⚠ 首月補演化):放大器=特斯拉價格戰已於 2023 上半年成形(Q1 營業利益年減 24%,OEM 端毛利壓縮)。惟≤圍欄證據(",2023-07-01,,1536,2,"傳動齒輪,墨西哥擴廠;持平,觀察價格戰傳導。",2023-07-01,repo:backfill/label_runs/2023-07.json,Tesla 降價戰壓縮供應鏈訂單/毛利/電動車銷量成長失速。,,chokepoint_owner
ev_supply,電動車供應鏈,"在冊主題 ev_supply(⚠ 首月補演化):放大器=特斯拉價格戰已於 2023 上半年成形(Q1 營業利益年減 24%,OEM 端毛利壓縮)。惟≤圍欄證據(",2023-07-01,,3665,2,"高壓線束,北美優勢抗跌;持平。",2023-07-01,repo:backfill/label_runs/2023-07.json,Tesla 降價戰壓縮供應鏈訂單/毛利/電動車銷量成長失速。,,enabler
ev_supply,電動車供應鏈,"在冊主題 ev_supply(⚠ 首月補演化):放大器=特斯拉價格戰已於 2023 上半年成形(Q1 營業利益年減 24%,OEM 端毛利壓縮)。惟≤圍欄證據(",2023-07-01,,5243,1,"沖壓件,受惠轉單;持平。",2023-07-01,repo:backfill/label_runs/2023-07.json,Tesla 降價戰壓縮供應鏈訂單/毛利/電動車銷量成長失速。,,enabler
ev_supply,電動車供應鏈,"在冊主題 ev_supply(⚠ 首月補演化):放大器=特斯拉價格戰已於 2023 上半年成形(Q1 營業利益年減 24%,OEM 端毛利壓縮)。惟≤圍欄證據(",2023-07-01,,2308,2,"電源/動力,持平。",2023-07-01,repo:backfill/label_runs/2023-07.json,Tesla 降價戰壓縮供應鏈訂單/毛利/電動車銷量成長失速。,,enabler
