company_code,company_name,theme_id,role,rationale,labeled_on
2383,台光電,ai_ccl,chokepoint_owner,M8/M9 低損耗 CCL 寡占之首;AI 加速卡材料規格代際鎖定,2026-07-14
6274,台燿,ai_ccl,chokepoint_owner,低損耗 CCL 三強;800G 交換器材料規格綁定,2026-07-14
6213,聯茂,ai_ccl,enabler,CCL 三強之末;持有節點但高階規格與份額落後半代,2026-07-14
3044,健鼎,ai_ccl,beneficiary,PCB 板廠=CCL 節點的下游客戶;不持有材料稀缺性,2026-07-14
2367,燿華,ai_pcb,beneficiary,一般 PCB 板廠;AI 佔比低，無獨佔製程節點,2026-07-14
3037,欣興,ai_pcb,chokepoint_owner,ABF 載板三雄;載板產能+認證是自有稀缺節點,2026-07-14
8021,尖點,ai_pcb,enabler,鑽針耗材全球前二;技術門檻真但非獨佔(對手 Union Tool),2026-07-14
3167,大量,ai_pcb,enabler,PCB 成型/鑽孔設備寡占利基;有替代供應商,2026-07-14
2059,川湖,ai_server_mech,chokepoint_owner,伺服器導軌近壟斷(60-70%);安規認證+機櫃世代規格鎖定,2026-07-14
3017,奇鋐,ai_server_mech,chokepoint_owner,散熱雙雄之首;3D VC/液冷板寡占+設計綁定,2026-07-14
3324,雙鴻,ai_server_mech,chokepoint_owner,散熱雙雄;液冷板/水冷排寡占本尊,2026-07-14
3653,健策,ai_server_mech,chokepoint_owner,均熱片/metal lid 高階近獨供,2026-07-14
3533,嘉澤,ai_server_mech,chokepoint_owner,CPU socket 三強寡占;LGA 規格認證鎖定,2026-07-14
3131,弘塑,advanced_packaging,enabler,CoWoS 濕製程設備關鍵供應商;認證綁定但稀缺主體是台積電產能,2026-07-14
3583,辛耘,advanced_packaging,enabler,先進封裝製程設備+再生晶圓;同弘塑邏輯,2026-07-14
6223,旺矽,advanced_packaging,chokepoint_owner,MEMS 探針卡台系獨大;全球三強，技術+認證雙壁壘,2026-07-14
6515,穎崴,advanced_packaging,chokepoint_owner,高階測試座寡占本尊,2026-07-14
7556,意德士,advanced_packaging,enabler,測試介面/治具利基;非獨佔,2026-07-14
3081,聯亞,optical_cpo,chokepoint_owner,光通訊磊晶/EML 上游;利基磊晶產能+大客戶認證,2026-07-14
6442,光聖,optical_cpo,enabler,光通訊連接組件;北美 DC 訂單集中但存在競爭者,2026-07-14
3163,波若威,optical_cpo,enabler,光被動元件;規格門檻有但競爭者多,2026-07-14
3443,創意,ai_asic,enabler,ASIC 設計服務與世芯/Marvell/Broadcom 競爭;真稀缺(先進製程+CoWoS 配額)在母公司台積電手裡,2026-07-14
3661,世芯-KY,ai_asic,enabler,設計服務競爭市場;專案內鎖定但跨案可替代,2026-07-14
3529,力旺,ai_asic,chokepoint_owner,eNVM IP 事實壟斷;royalty 模式，替代認證 >12 個月,2026-07-14
6669,緯穎,server_oem,beneficiary,機櫃整合純代工;客戶自有設計，組裝經濟無定價權,2026-07-14
2382,廣達,server_oem,beneficiary,ODM 組裝;7-09 報告自判「瓶頸是別人的」,2026-07-14
3231,緯創,server_oem,beneficiary,ODM 組裝;同廣達邏輯,2026-07-14
2356,英業達,server_oem,beneficiary,ODM 組裝;同上,2026-07-14
